number,title,state,state_reason,created_at,updated_at,closed_at,comments,labels,user,assignee,author_association,body,closed_by,reactions,timeline_url,sub_issues_total,sub_issues_completed,sub_issues_percent_completed,url
36975,Kubernetes CronJob with timeZone are detected in error with kubernetes_state.cronjob.on_schedule_check,open,,2025-05-14T14:40:52Z,2025-05-14T14:43:12Z,,0,['team/container-app'],jfaissolle,,NONE,"**Agent Environment**

agent 7.63.3

**Describe what happened:**

I setup an alert based on the `kubernetes_state.cronjob.on_schedule_check` to detect missed Cronjob schedules.

Some K8s cronjobs are setup with the Cronjob spec `timeZone` parameter.

Example:

```yaml
  schedule: 30 8 * * 1-6
  timeZone: Europe/Paris
```

With this configuration, the monitor based on this check is in error from 10:30 (UTC+2) even if the job executed at exactly 8:30 (UTC+2)

**Describe what you expected:**

No alert

**Steps to reproduce the issue:**

- Create a cronjob with a schedule based on a non UTC timeZone
- Create a monitor based on the  `kubernetes_state.cronjob.on_schedule_check` 
- Wait for job scheduled execution time

**Additional environment details (Operating System, Cloud provider, etc):**

EKS


**Analysis:**

`kube_cronjob_next_schedule_time` does not take Cronjob spec timeZone parameter into account.

https://github.com/DataDog/datadog-agent/blob/4b274f2259e53f5c0d3ac2e9d5c5867c6cee2be7/pkg/collector/corechecks/cluster/ksm/customresources/cronjob.go#L237




",,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36975/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36975
36938,"[BUG] restart agent, k8s log file read from beginning",open,,2025-05-13T20:32:20Z,2025-05-13T20:59:08Z,,0,['team/agent-log-pipelines'],lerminou,,NONE,"<!--
If you have identified a specific bug in the Agent codebase, please describe it here. If the
issue requires further debugging or investigation, that will be best accomplished via support. Please please contact Datadog [support](http://docs.datadoghq.com/help/) and send them a [flare](https://docs.datadoghq.com/agent/troubleshooting/#send-a-flare) demonstrating the issue.
-->

**Agent Environment**
<!-- please include `agent version` and any other useful output (`agent status`, relevant agent logs, etc.) -->
agent 7.53

**Describe what happened:**
During a maintenance operation, all agents restart.
In Datadog, I see that numerous errors have appeared in the logs and incidents have been created.

In fact, the logs are old.
It seems that the agent, upon restart, doesn't have the latest position in each file.
the attached image show old logs  


**Describe what you expected:**
only news logs are ingested when restarting the agents

**Steps to reproduce the issue:**


**Additional environment details (Operating System, Cloud provider, etc):**
k8s on-premise 

![Image](https://github.com/user-attachments/assets/ef534b7e-15d1-419b-b95d-d7c6b6ad29e5)

![Image](https://github.com/user-attachments/assets/1dbc50ed-1180-40b6-a9a4-c90da6517654)",,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36938/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36938
36921,[BUG] Metric not being tagged when process checks run in the core agent,open,,2025-05-13T14:47:46Z,2025-05-13T21:00:07Z,,2,"['team/triage', 'team/container-intake']",tsamaras,,NONE,"```
**Agent Environment**
===============
Agent (v7.65.1)
===============
  Status date: 2025-05-13 14:36:25.474 UTC (1747146985474)
  Agent start: 2025-05-13 12:54:19.295 UTC (1747140859295)
  Pid: 135078
  Go Version: go1.23.8
  Python Version: 3.12.9
  Build arch: amd64
  Agent flavor: agent
  FIPS Mode: not available
  Log File: /var/log/datadog/agent.log
  Log Level: INFO

  Paths
  =====
    Config File: /etc/datadog-agent/datadog.yaml
    conf.d: /etc/datadog-agent/conf.d
    checks.d: /etc/datadog-agent/checks.d

=============
Process Agent
=============

  Status: Not running or unreachable

=================
Process Component
=================


  Enabled Checks: [process rtprocess]
  System Probe Process Module Status: Not running
  Process Language Detection Enabled: False

  =================
  Process Endpoints
  =================
    https://process.datadoghq.com - API Key ending with:
        - b5e4f

```
**Describe what happened:**
with the change in 7.65.0 to set the process checks to run in the core agent, it appears that `datadog.process.processes.host_count` is not longer being properly tagged. we see it disappear for hosts that upgraded to that version. however if we set `run_in_core_agent: false` the metric starts populating again. The different appears to be that the process_agent sends the metric via dogstatsd, which adds appropriate tags, but the core agent looks to be sending the metric directly without adding any tags first.


**Describe what you expected:**
metric continues to be visible for all hosts.

**Steps to reproduce the issue:**
upgrade from 7.64.3 or earlier to 7.65.0+ with the default configuration for `run_in_core_agent`

**Additional environment details (Operating System, Cloud provider, etc):**
Ubuntu 20.04, 24.04
GCP
",,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36921/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36921
36789,[BUG] Obfuscating possible credit card under key..,closed,completed,2025-05-08T13:23:27Z,2025-05-12T06:53:22Z,2025-05-12T06:53:20Z,4,"['team/triage', 'team/processes']",radu-sancraian,,NONE,"**Agent Environment**
gcr.io/datadoghq/serverless-init:1.6.1

**Describe what happened**

I'm using Datadog as a sidecar container alongside an ingress container in Google Cloud Run. When I attempt to ingest a span attribute with the key gcn using OpenTelemetry annotations in Java (@WithSpan, via opentelemetry-instrumentation-annotations), the value is automatically obfuscated by the Datadog agent.

Here’s the log output:

2025-05-08 12:34:30 UTC | SERVERLESS_SIDECAR | DEBUG | obfuscating possible credit card under key gcn from service campaign

From my investigation, this logic appears to originate from the Go agent here:

https://github.com/DataDog/datadog-agent/blob/main/pkg/trace/agent/obfuscate.go#L40-L48

I understand that the agent tries to protect against sensitive data, such as credit card numbers. However, in my case, gcn is a domain-specific identifier  (e.g., 4306286911211) but is not a credit card number.

**Describe what you expected**

Is there a way to disable obfuscation for specific keys like gcn?

Or, is it possible to configure a whitelist of attribute keys that should not be redacted?

Thanks!",radu-sancraian,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36789/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36789
36780,[BUG] Single step instrumentation error opening agent jar,open,,2025-05-08T04:45:00Z,2025-05-09T18:02:53Z,,1,"['team/triage', 'team/injection-platform']",prakashbalaji,betterengineering,NONE,"
**Agent Environment**
gcr.io/datadoghq/agent:7.54.0

**Describe what happened:**
When the pods start with single step instrumentation (probably on a new node but not sure), we get this error about the datadog agent jar and the pod goes into crashloopbackoff. Deleting the problematic pod, we get a new pod started correctly without any error. 

<img width=""1728"" alt=""Image"" src=""https://github.com/user-attachments/assets/cbedf0af-d4f8-43fe-8f5a-1b5c9c151fac"" />

**Describe what you expected:**

Pods should start with datadog agent instrumented everytime. 

**Steps to reproduce the issue:**

I cannot be sure about this but better to test on a new node and first time pod start on a new node. 

**Additional environment details (Operating System, Cloud provider, etc):**

AWS EKS 1.29, Self managed node groups. m5.2xlarge nodes. Spring grpc, Datadog agent with single step instrumentation enabled. ",,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36780/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36780
36734,[BUG] APM remote configuration not work on 7.65.0,open,,2025-05-07T10:03:36Z,2025-05-13T18:45:04Z,,5,"['team/triage', 'team/agent-processing-and-routing']",DingGGu,,NONE,"<!--
If you have identified a specific bug in the Agent codebase, please describe it here. If the
issue requires further debugging or investigation, that will be best accomplished via support. Please please contact Datadog [support](http://docs.datadoghq.com/help/) and send them a [flare](https://docs.datadoghq.com/agent/troubleshooting/#send-a-flare) demonstrating the issue.
-->

**Agent Environment**
<!-- please include `agent version` and any other useful output (`agent status`, relevant agent logs, etc.) -->

**Describe what happened:**

I setup APM with Datadog Agent, but after updating to the latest (7.65.0)  version, an error related to Remote Configuration is occurring from the application that configured APM.

Getting error on dd-trace-rb:
```
Datadog::Core::Remote::Component#initialize') remote worker error: Datadog::Core::Remote::Client::TransportError #<Datadog::Core::Transport::InternalErrorResponse:0x0000>, error_type:Datadog::Core::Remote::Transport::HTTP::Config::Response::ParseError error:could not parse key :roots: #<JSON::ParserError:""Empty input (after ) at line 1, column 1 [parse.c:1074] in 'rpc error: code = Unknown desc = empty targets meta in director local store\n"">
```

Getting error on dd-trace-java:
```
[dd-remote-config] WARN datadog.remoteconfig.ConfigurationPoller - Failed to retrieve remote configuration: unexpected response code Internal Server Error 500 rpc error: code = Unknown desc = empty targets meta in director local store
 (Will not log warnings for 5 minutes)
```


**Describe what you expected:**


**Steps to reproduce the issue:**

Upgrade to 7.65.0 from 7.61.0


**Additional environment details (Operating System, Cloud provider, etc):**
Kubernetes with Helm installation, Helm: [datadog-3.112.0](https://github.com/DataDog/helm-charts/releases/tag/datadog-3.112.0)",,12,https://api.github.com/repos/DataDog/datadog-agent/issues/36734/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36734
36592,Vulnerabilities in Agent v7.64.3,closed,completed,2025-05-01T15:40:04Z,2025-05-08T21:55:36Z,2025-05-08T21:55:35Z,7,['team/agent-security'],JideEngDev,,NONE,"Could you please help in resolving these following vulnerabilities?

- [CVE-2025-22872](https://nvd.nist.gov/vuln/detail/cve-2025-22872) - golang.org/x/net:v0.35.0
- [CVE-2025-22870](https://nvd.nist.gov/vuln/detail/cve-2025-22870) - golang.org/x/net:v0.35.0
- [CVE-2024-12797](https://nvd.nist.gov/vuln/detail/cve-2024-12797) - cryptography:43.0.1
- [CVE-2024-40635](https://nvd.nist.gov/vuln/detail/cve-2024-40635) - github.com/containerd/containerd:v1.7.25",sgnn7,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36592/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36592
36581,[BUG] DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_GRPC_ENDPOINT and DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_HTTP_ENDPOINT environment variables not working with agent version 7.64.3,open,,2025-04-30T15:59:19Z,2025-04-30T20:35:10Z,,1,"['team/triage', 'team/opentelemetry-agent']",kamranrana-hi,,NONE,"<!--
Set the `DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_GRPC_ENDPOINT` and `DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_HTTP_ENDPOINT` environment variables. When the agent started up on version `7.64.3` it was not listening on ports `4317` and `4318`. 
-->

**Agent Environment**

- Agent version `7.64.3`

**Describe what happened:**
Set the `DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_GRPC_ENDPOINT` and `DD_OTLP_CONFIG_RECEIVER_PROTOCOLS_HTTP_ENDPOINT` environment variables. When the agent started up on version `7.64.3` it was not listening on ports `4317` and `4318`. 

**Describe what you expected:**
- GRPC endpoint is listening on port `4317`
- HTTP endpoint is listening on port `4318`


**Steps to reproduce the issue:**
- Set the environment variables 
- See that the ports are not open in the docker container where the agent is running


**Additional environment details (Operating System, Cloud provider, etc):**

- Cloud provider: AWS
- Running on ECS EC2 backed Cluster
- Running on Alpine Linux
",,1,https://api.github.com/repos/DataDog/datadog-agent/issues/36581/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36581
36525,DatadogMetric's status is flagged as Invalid if the returned Series is empty,open,,2025-04-28T16:21:10Z,2025-04-28T17:55:56Z,,2,['team/container-integrations'],qlikcoe,,NONE,"https://github.com/DataDog/datadog-agent/blob/21fe278399eae9c60bb93256a4cf3e2d3fd9c6b1/pkg/util/kubernetes/autoscalers/datadogexternal.go#L190

Not sure if that's the best approach since it could be misleading in a scenario when there is no traffic and a service isn't reporting any requests count, for example.

I'm using Keda's ScaledObject to scale using DatadogMetric object, and ScaledObject is also flagged as `not ready` because of this.  ",,2,https://api.github.com/repos/DataDog/datadog-agent/issues/36525/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36525
36447,[BUG] exit code 139 on application with high volume of logs,open,,2025-04-24T19:30:06Z,2025-04-25T17:55:23Z,,1,"['team/agent-apm', 'team/triage']",jhonatasfluency,,NONE,"<!--
If you have identified a specific bug in the Agent codebase, please describe it here. If the
issue requires further debugging or investigation, that will be best accomplished via support. Please please contact Datadog [support](http://docs.datadoghq.com/help/) and send them a [flare](https://docs.datadoghq.com/agent/troubleshooting/#send-a-flare) demonstrating the issue.
-->

**Agent Environment**
<!-- please include `agent version` and any other useful output (`agent status`, relevant agent logs, etc.) -->
Version: [7.64.3](https://github.com/DataDog/datadog-agent/releases/tag/7.64.3) 
**Describe what happened:**
We receive often exit code 139 on containers running with this agent, on past version this do not happen.

Agent execution with bash script:
```
    export DD_ENV=""prod""
    exec ddtrace-run python -m ....
```
**Describe what you expected:**
The container suddenly stop with exit code 139 

**Steps to reproduce the issue:**


**Additional environment details (Operating System, Cloud provider, etc):**
Container build on AMD64 base linux base on debian, container run on AWS ECS with Fargate 1.4.

<img width=""619"" alt=""Image"" src=""https://github.com/user-attachments/assets/55ff4175-592f-48eb-ac2c-beac2c4e756e"" />
",,0,https://api.github.com/repos/DataDog/datadog-agent/issues/36447/timeline,0,0,0,https://github.com/DataDog/datadog-agent/issues/36447
